participant_name,ev,market,line,game,date
Devin Vassell,7.049999999999997,player_assists_over_under,4.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_assists_over_under.json,2024-01-26
Cam Whitmore,6.969999999999999,player_threes_over_under,1.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_threes_over_under.json,2024-01-26
Devin Booker,6.950000000000003,player_rebounds_over_under,4.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_rebounds_over_under.json,2024-01-26
Vince Williams Jr.,6.880000000000003,player_rebounds_over_under,6.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_rebounds_over_under.json,2024-01-26
Brook Lopez,6.770000000000003,player_points_over_under,12.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_points_over_under.json,2024-01-26
Bruce Brown,6.770000000000003,player_points_over_under,12.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_points_over_under.json,2024-01-26
Chet Holmgren,6.759999999999998,player_steals_over_under,0.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_steals_over_under.json,2024-01-26
Saddiq Bey,6.670000000000002,player_points_over_under,12.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_points_over_under.json,2024-01-26
Jaden Hardy,6.649999999999999,player_assists_points_rebounds_over_under,11.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_assists_points_rebounds_over_under.json,2024-01-26
Jaden Hardy,6.649999999999999,player_points_over_under,7.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_points_over_under.json,2024-01-26
Pat Connaughton,6.649999999999999,player_assists_rebounds_over_under,3.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_rebounds_over_under.json,2024-01-26
Chet Holmgren,6.649999999999999,player_assists_rebounds_over_under,10.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_rebounds_over_under.json,2024-01-26
Jalen Williams,6.649999999999999,player_assists_rebounds_over_under,8.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_rebounds_over_under.json,2024-01-26
Luguentz Dort,6.649999999999999,player_assists_rebounds_over_under,4.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_rebounds_over_under.json,2024-01-26
John Konchar,6.649999999999999,player_rebounds_over_under,4.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_rebounds_over_under.json,2024-01-26
Dyson Daniels,6.649999999999999,player_rebounds_over_under,3.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_rebounds_over_under.json,2024-01-26
Jalen Suggs,6.629999999999999,player_rebounds_over_under,3.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_rebounds_over_under.json,2024-01-26
Vince Williams Jr.,6.539999999999999,player_points_over_under,12.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_points_over_under.json,2024-01-26
Alperen Sengun,6.399999999999999,player_rebounds_over_under,11.5,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_rebounds_over_under.json,2024-01-26
Luguentz Dort,6.399999999999999,player_rebounds_over_under,3.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_rebounds_over_under.json,2024-01-26
Trey Murphy Iii,6.350000000000001,player_threes_over_under,2.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_threes_over_under.json,2024-01-26
Xavier Tillman,6.329999999999998,player_points_over_under,4.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_points_over_under.json,2024-01-26
Luka Doncic,6.329999999999998,player_assists_rebounds_over_under,19.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_assists_rebounds_over_under.json,2024-01-26
Vince Williams Jr.,6.329999999999998,player_assists_rebounds_over_under,10.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_rebounds_over_under.json,2024-01-26
Dean Wade,6.329999999999998,player_assists_points_over_under,6.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_points_over_under.json,2024-01-26
Grayson Allen,6.329999999999998,player_assists_points_over_under,14.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_assists_points_over_under.json,2024-01-26
Dyson Daniels,6.329999999999998,player_assists_points_over_under,6.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_points_over_under.json,2024-01-26
Josh Giddey,6.329999999999998,player_steals_over_under,0.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_steals_over_under.json,2024-01-26
