participant_name,ev,market,line,type,game,date,over_odds,under_odds
Norman Powell,16.0,player_rebounds_over_under,2.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_rebounds_over_under.json,2024-01-21,175.0,-240.0
Jerami Grant,15.450000000000003,player_threes_over_under,1.5,under,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_threes_over_under.json,2024-01-21,170.0,-235.0
Kawhi Leonard,15.450000000000003,player_blocks_steals_over_under,2.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_blocks_steals_over_under.json,2024-01-21,170.0,-235.0
James Harden,15.450000000000003,player_blocks_over_under,0.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_blocks_over_under.json,2024-01-21,170.0,-235.0
Amen Thompson,15.299999999999997,player_steals_over_under,1.5,under,fantasy__2024-01-21__2198a6a26216e034d141efe88923b9d4__player_steals_over_under.json,2024-01-21,170.0,-230.0
Toumani Camara,14.870000000000005,player_points_over_under,4.5,under,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_points_over_under.json,2024-01-21,165.0,-230.0
Eric Gordon,14.719999999999999,player_assists_rebounds_over_under,3.5,over,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_assists_rebounds_over_under.json,2024-01-21,-225.0,165.0
Pascal Siakam,14.560000000000002,player_assists_rebounds_over_under,10.5,under,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_assists_rebounds_over_under.json,2024-01-21,165.0,-220.0
Deandre Ayton,13.96,player_assists_over_under,1.5,under,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_assists_over_under.json,2024-01-21,160.0,-215.0
Josh Richardson,13.96,player_assists_over_under,1.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_assists_over_under.json,2024-01-21,160.0,-215.0
Paul George,13.899999999999999,player_assists_over_under,2.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_assists_over_under.json,2024-01-21,157.5,-222.5
Terance Mann,13.340000000000003,player_blocks_steals_over_under,0.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_blocks_steals_over_under.json,2024-01-21,155.0,-210.0
Norman Powell,13.340000000000003,player_assists_rebounds_over_under,3.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_assists_rebounds_over_under.json,2024-01-21,155.0,-210.0
Matisse Thybulle,13.340000000000003,player_rebounds_over_under,1.5,under,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_rebounds_over_under.json,2024-01-21,155.0,-210.0
Russell Westbrook,13.340000000000003,player_rebounds_over_under,5.5,over,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_rebounds_over_under.json,2024-01-21,-210.0,155.0
Kawhi Leonard,13.340000000000003,player_steals_over_under,1.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_steals_over_under.json,2024-01-21,155.0,-210.0
Paolo Banchero,13.149999999999999,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_blocks_steals_over_under.json,2024-01-21,155.0,-205.0
Duncan Robinson,13.149999999999999,player_steals_over_under,0.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_steals_over_under.json,2024-01-21,155.0,-205.0
Franz Wagner,12.689999999999998,player_assists_rebounds_over_under,7.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_assists_rebounds_over_under.json,2024-01-21,150.0,-205.0
Daniel Theis,12.689999999999998,player_rebounds_over_under,4.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_rebounds_over_under.json,2024-01-21,150.0,-205.0
Markelle Fultz,12.5,player_blocks_steals_over_under,1.5,over,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_blocks_steals_over_under.json,2024-01-21,-200.0,150.0
Jae'Sean Tate,12.5,player_assists_over_under,1.5,under,fantasy__2024-01-21__2198a6a26216e034d141efe88923b9d4__player_assists_over_under.json,2024-01-21,150.0,-200.0
Scoot Henderson,11.82,player_rebounds_over_under,2.5,under,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_rebounds_over_under.json,2024-01-21,145.0,-195.0
Bradley Beal,11.82,player_assists_over_under,4.5,under,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_assists_over_under.json,2024-01-21,145.0,-195.0
Bilal Coulibaly,11.130000000000003,player_threes_over_under,0.5,under,fantasy__2024-01-21__611279634cb287cb5257d2c91b04b316__player_threes_over_under.json,2024-01-21,140.0,-190.0
Jimmy Butler,11.130000000000003,player_rebounds_over_under,4.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_rebounds_over_under.json,2024-01-21,140.0,-190.0
Mikal Bridges,11.130000000000003,player_assists_over_under,3.5,over,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_assists_over_under.json,2024-01-21,-190.0,140.0
Russell Westbrook,11.030000000000001,player_assists_over_under,4.5,under,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_assists_over_under.json,2024-01-21,150.0,-204.0
James Harden,10.909999999999997,player_blocks_steals_over_under,1.5,over,fantasy__2024-01-21__900419d018c3bba44f8457cc65dfea4a__player_blocks_steals_over_under.json,2024-01-21,-185.0,140.0
Bilal Coulibaly,10.909999999999997,player_blocks_over_under,0.5,under,fantasy__2024-01-21__611279634cb287cb5257d2c91b04b316__player_blocks_over_under.json,2024-01-21,140.0,-185.0
Cam Whitmore,10.909999999999997,player_rebounds_over_under,5.5,under,fantasy__2024-01-21__2198a6a26216e034d141efe88923b9d4__player_rebounds_over_under.json,2024-01-21,140.0,-185.0
Cole Anthony,10.909999999999997,player_steals_over_under,0.5,under,fantasy__2024-01-21__7759ddb389b5e18be3cb67af1ea022c7__player_steals_over_under.json,2024-01-21,140.0,-185.0
Devin Booker,10.41,player_rebounds_over_under,4.5,over,fantasy__2024-01-21__fd4d460e2692fd55e49ce3811ff3110e__player_rebounds_over_under.json,2024-01-21,-187.5,134.0
Tyus Jones,10.384999999999998,player_points_over_under,11.5,under,fantasy__2024-01-21__611279634cb287cb5257d2c91b04b316__player_points_over_under.json,2024-01-21,47.0,-202.5
Michael Porter Jr.,10.170000000000002,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-21__611279634cb287cb5257d2c91b04b316__player_blocks_steals_over_under.json,2024-01-21,135.0,-180.0
D'Angelo Russell,10.170000000000002,player_rebounds_over_under,2.5,under,fantasy__2024-01-21__43d2320b0bcc62b1b6b9d8fd51a5087a__player_rebounds_over_under.json,2024-01-21,135.0,-180.0
